timestamp,open,high,low,close,volume
2016-01-02,3.47,3.5,3.47,3.5,10.09123604
2016-01-03,3.47,3.49,3.45,3.49,3.57447128
2016-01-04,3.49,3.52,3.43,3.43,178.11728838
2016-01-05,3.42,3.47,3.42,3.47,28.98491855
2016-01-06,3.45,3.5,3.42,3.44,15.52570051
2016-01-07,3.5,3.58,3.5,3.58,46.5597
2016-01-08,3.51,3.6,3.51,3.54,116.05544411
2016-01-09,3.52,3.65,3.52,3.63,24.38570173
2016-01-10,3.57,3.57,3.5,3.52,32.33376335
2016-01-11,3.62,3.62,3.59,3.59,44.86973548
2016-01-12,3.59,3.61,3.46,3.52,275.49430278
2016-01-13,3.5,3.5,3.41,3.49,33.81648844
2016-01-14,3.48,3.48,3.48,3.48,11.8048048
2016-01-15,3.5,3.5,3.02,3.02,1465.17055219
2016-01-16,3.02,3.13,2.95,3.13,789.31314779
2016-01-17,3.05,3.1,2.99,3.03,85.629091
2016-01-18,3.01,3.07,2.97,3.07,8657.48550507
2016-01-19,3.0,3.1,2.97,2.97,80.58878164
2016-01-20,2.97,3.41,2.97,3.41,845.34135039
2016-01-21,3.37,3.43,3.21,3.22,9.22056554
2016-01-22,3.21,3.21,3.03,3.05,45.93748917
2016-01-23,3.05,3.14,3.0,3.09,517.21008248
2016-01-24,3.09,3.21,3.04,3.13,2682.98188194
2016-01-25,3.13,3.16,3.06,3.06,426.08698318
2016-01-26,3.09,3.13,3.07,3.13,192.85563728
2016-01-27,3.18,3.35,3.16,3.35,323.48788723
2016-01-28,3.34,3.34,3.03,3.12,329.93913842
2016-01-29,3.06,3.15,3.01,3.12,225.68561775
2016-01-30,3.13,3.13,3.03,3.07,166.8432819
2016-01-31,3.09,3.1,3.0,3.03,567.13508917
2016-02-01,3.09,3.09,3.0,3.04,382.82754402
2016-02-02,3.04,3.06,3.0,3.0,76.59653859
2016-02-03,3.0,3.05,3.0,3.02,43.4251777
2016-02-04,3.06,3.21,3.02,3.1,290.70745087
2016-02-05,3.22,3.22,3.1,3.11,44.04165869
2016-02-06,3.1,3.12,3.04,3.11,272.71898882
2016-02-07,3.11,3.11,3.03,3.03,285.86610273
2016-02-08,3.03,3.07,2.93,2.98,664.63495188
2016-02-09,2.99,3.07,2.99,3.05,979.00488558
2016-02-10,3.05,3.09,2.96,3.06,1329.49975212
2016-02-11,3.06,3.1,2.89,2.92,16500.94268035
2016-02-12,3.04,3.09,2.93,3.02,296.59060577
2016-02-13,3.02,3.15,3.02,3.04,696.97339089
2016-02-14,3.15,3.17,3.08,3.14,445.29891675
2016-02-15,3.09,3.17,2.89,3.04,256.25577804
2016-02-16,3.12,3.22,3.06,3.13,525.04159945
2016-02-17,3.13,3.27,2.89,3.17,704.21626155
2016-02-18,3.17,3.25,3.15,3.19,834.19355171
2016-02-19,3.19,3.22,3.18,3.2,269.84062156
2016-02-20,3.2,3.48,3.19,3.41,1641.15964887
2016-02-21,3.4,3.54,3.1,3.42,3334.34804129
2016-02-22,3.32,3.46,3.3,3.39,1181.89358095
2016-02-23,3.39,3.44,3.3,3.41,685.25087535
2016-02-24,3.34,3.37,3.24,3.3,456.95278739
2016-02-25,3.32,3.39,3.3,3.37,457.3491626
2016-02-26,3.31,3.39,3.28,3.39,692.75142986
2016-02-27,3.37,3.43,3.35,3.37,94.51013632
2016-02-28,3.37,3.41,3.31,3.38,144.54493271
2016-02-29,3.46,3.48,3.37,3.37,68.56711225
2016-03-01,3.38,3.42,3.31,3.34,2144.03877126
2016-03-02,3.34,3.4,3.07,3.25,2600.28951738
2016-03-03,3.25,3.33,3.03,3.21,2182.24779991
2016-03-04,3.31,3.33,2.97,3.23,4322.08541943
2016-03-05,3.14,3.22,2.63,3.11,2787.52224682
2016-03-06,3.11,3.25,2.85,3.17,2654.99997707
2016-03-07,3.11,3.25,3.11,3.24,388.25475099
2016-03-08,3.24,3.3,3.21,3.25,323.22470782
2016-03-09,3.19,3.35,3.19,3.24,863.53221782
2016-03-10,3.24,3.34,3.21,3.22,628.45557647
2016-03-11,3.33,3.41,3.22,3.3,1050.20782257
2016-03-12,3.3,3.36,2.91,3.19,1326.00663688
2016-03-13,3.29,3.29,3.02,3.27,291.0645549
2016-03-14,3.27,3.29,2.91,3.25,610.46195145
2016-03-15,3.25,3.29,3.0,3.29,1090.41553304
2016-03-16,3.26,3.29,3.22,3.29,1599.90811584
2016-03-17,3.29,3.32,3.24,3.26,226.16318647
2016-03-18,3.31,3.31,3.11,3.14,471.70016364
2016-03-19,3.18,3.21,3.14,3.16,32.85697657
